SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_58-MP,4,9,6,5,OVER_PREF,MP,MATH_OVERLOAD,15.5454545454545,16,26195,6,5,0.454545454545455
session_58-SP,6,9,0,3,OVER_PREF,SP,MATH_AUTONOMY,10.25,10,16120.875,2,14,0.875
session_58-SP,6,9,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,9581.60869565217,0,23,1
session_58-SP,6,9,0,3,OVER_PREF,SP,MATH_FLOW,7.44444444444445,7.5,13345.6666666667,3,15,0.833333333333333
session_58-SP,6,9,0,3,OVER_PREF,SP,MATH_OVERLOAD,17.5,18,27189.9,9,1,0.1
session_59-MP,2,5,3,3,OVER_PREF,MP,MATH_AUTONOMY,5.41666666666667,5,23169.5833333333,5,7,0.583333333333333
session_59-MP,2,5,3,3,OVER_PREF,MP,MATH_BOREDOM,0,0,15535.25,0,16,1
session_59-MP,2,5,3,3,OVER_PREF,MP,MATH_FLOW,3.21428571428571,3,19507.5,2,12,0.857142857142857
session_59-MP,2,5,3,3,OVER_PREF,MP,MATH_OVERLOAD,13.2,13,28000.8,9,1,0.1
session_59-SP,5,9,0,4,OVER_PREF,SP,MATH_AUTONOMY,7.90909090909091,8,24928.9090909091,6,5,0.454545454545455
session_59-SP,5,9,0,4,OVER_PREF,SP,MATH_BOREDOM,0,0,10717.4545454545,0,22,1
session_59-SP,5,9,0,4,OVER_PREF,SP,MATH_FLOW,6.14285714285714,6,19794.8571428571,4,10,0.714285714285714
session_59-SP,5,9,0,4,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28002.7,10,0,0
session_60-SP,3,1,0,-2,UNDER_PREF,SP,MATH_AUTONOMY,3.38888888888889,3.5,13324.8888888889,1,17,0.944444444444444
session_60-SP,3,1,0,-2,UNDER_PREF,SP,MATH_BOREDOM,0,0,9318.04166666667,0,24,1
session_60-SP,3,1,0,-2,UNDER_PREF,SP,MATH_FLOW,4.83333333333333,5,13259,3,15,0.833333333333333
session_60-SP,3,1,0,-2,UNDER_PREF,SP,MATH_OVERLOAD,13.6363636363636,14,26479.7272727273,11,0,0
session_61-MP,5,6,7,1,OVER_PREF,MP,MATH_AUTONOMY,6.61538461538462,7,19869.9230769231,4,9,0.692307692307692
session_61-MP,5,6,7,1,OVER_PREF,MP,MATH_BOREDOM,0,0,10489.8636363636,1,21,0.954545454545455
session_61-MP,5,6,7,1,OVER_PREF,MP,MATH_FLOW,5.69230769230769,6,20177.0769230769,3,10,0.769230769230769
session_61-MP,5,6,7,1,OVER_PREF,MP,MATH_OVERLOAD,15.8,16,28000.7,10,0,0
session_62-MP,5,4,12,-1,UNDER_PREF,MP,MATH_AUTONOMY,5.375,5,16986.875,2,14,0.875
session_62-MP,5,4,12,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,10315.0454545455,0,22,1
session_62-MP,5,4,12,-1,UNDER_PREF,MP,MATH_FLOW,5.8125,6,15484.375,3,13,0.8125
session_62-MP,5,4,12,-1,UNDER_PREF,MP,MATH_OVERLOAD,15.9,16,28015.2,9,1,0.1
session_62-SP,4,6,0,2,OVER_PREF,SP,MATH_AUTONOMY,6.13333333333333,6,17908.8666666667,4,11,0.733333333333333
session_62-SP,4,6,0,2,OVER_PREF,SP,MATH_BOREDOM,0,0,10057.6086956522,0,23,1
session_62-SP,4,6,0,2,OVER_PREF,SP,MATH_FLOW,5.625,6,15428.375,5,11,0.6875
session_62-SP,4,6,0,2,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28002.4,10,0,0
session_63-MP,4,6,6,2,OVER_PREF,MP,MATH_AUTONOMY,7.28571428571429,7,19713.5714285714,2,12,0.857142857142857
session_63-MP,4,6,6,2,OVER_PREF,MP,MATH_BOREDOM,0,0,9959.13043478261,0,23,1
session_63-MP,4,6,6,2,OVER_PREF,MP,MATH_FLOW,5.69230769230769,6,19952.1538461538,0,13,1
session_63-MP,4,6,6,2,OVER_PREF,MP,MATH_OVERLOAD,14.8,15,28006.6,10,0,0
